feature,imp
Col2174,0.0
Col2386,0.0
Col1669,0.0
Col1664,0.0
Col1660,0.0
Col2397,0.0
Col245,0.0
Col1657,0.0
Col1655,0.0
Col255,0.0
Col1652,0.0
Col256,0.0
Col1645,0.0
Col258,0.0
Col261,0.0
Col262,0.0
Col1628,0.0
Col263,0.0
Col264,0.0
Col1612,0.0
Col1610,0.0
Col265,0.0
Col1603,0.0
Col27,0.0
Col273,0.0
Col278,0.0
Col1597,0.0
Col1594,0.0
Col285,0.0
Col286,0.0
Col1672,0.0
Col1674,0.0
Col2384,0.0
Col2383,0.0
Col1746,0.0
Col1745,0.0
Col232,0.0
Col1740,0.0
Col2326,0.0
Col1738,0.0
Col2327,0.0
Col2333,0.0
Col1728,0.0
Col1726,0.0
Col1723,0.0
Col2337,0.0
Col1720,0.0
Col1718,0.0
Col1590,0.0
Col2340,0.0
Col2349,0.0
Col1707,0.0
Col1706,0.0
Col1704,0.0
Col2363,0.0
Col1697,0.0
Col2366,0.0
Col2370,0.0
Col1692,0.0
Col1688,0.0
Col238,0.0
Col1683,0.0
Col2382,0.0
Col168,0.0
Col1713,0.0
Col287,0.0
Col312,0.0
Col1585,0.0
Col403,0.0
Col41,0.0
Col420,0.0
Col1512,0.0
Col1511,0.0
Col1506,0.0
Col1505,0.0
Col421,0.0
Col426,0.0
Col427,0.0
Col1499,0.0
Col439,0.0
Col1497,0.0
Col1491,0.0
Col1521,0.0
Col443,0.0
Col1488,0.0
Col1485,0.0
Col453,0.0
Col459,0.0
Col464,0.0
Col1477,0.0
Col471,0.0
Col475,0.0
Col1469,0.0
Col1467,0.0
Col477,0.0
Col1456,0.0
Col1455,0.0
Col1454,0.0
Col448,0.0
Col1748,0.0
Col397,0.0
Col2077,0.0
Col1582,0.0
Col315,0.0
Col317,0.0
Col327,0.0
Col1577,0.0
Col1576,0.0
Col1575,0.0
Col1574,0.0
Col1573,0.0
Col330,0.0
Col336,0.0
Col1566,0.0
Col344,0.0
Col1560,0.0
Col391,0.0
Col348,0.0
Col36,0.0
Col363,0.0
Col365,0.0
Col155,0.0
Col1545,0.0
Col1544,0.0
Col366,0.0
Col1541,0.0
Col367,0.0
Col154,0.0
Col1538,0.0
Col374,0.0
Col1531,0.0
Col376,0.0
Col359,0.0
Col1451,0.0
Col1749,0.0
Col1753,0.0
Col2157,0.0
Col2159,0.0
Col2163,0.0
Col2171,0.0
Col1978,0.0
Col994,0.0
Col1971,0.0
Col197,0.0
Col1968,0.0
Col2176,0.0
Col1964,0.0
Col1963,0.0
Col1962,0.0
Col2181,0.0
Col2184,0.0
Col1956,0.0
Col2186,0.0
Col2187,0.0
Col2189,0.0
Col2190,0.0
Col1944,0.0
Col1942,0.0
Col2193,0.0
Col2196,0.0
Col1930,0.0
Col2198,0.0
Col1929,0.0
Col1922,0.0
Col1920,0.0
Col1993,0.0
Col2147,0.0
Col20,0.0
Col2146,0.0
Col2073,0.0
Col2072,0.0
Col2085,0.0
Col2064,0.0
Col2063,0.0
Col2061,0.0
Col2060,0.0
Col2087,0.0
Col2057,0.0
Col205,0.0
Col2046,0.0
Col2043,0.0
Col2099,0.0
Col2117,0.0
Col2202,0.0
Col2039,0.0
Col2036,0.0
Col2035,0.0
Col2119,0.0
Col212,0.0
Col2025,0.0
Col2024,0.0
Col2023,0.0
Col2122,0.0
Col2128,0.0
Col2133,0.0
Col2015,0.0
Col2009,0.0
Col2143,0.0
Col2003,0.0
Col2037,0.0
Col1917,0.0
Col1913,0.0
Col2204,0.0
Col1813,0.0
Col181,0.0
Col2270,0.0
Col1805,0.0
Col2271,0.0
Col1801,0.0
Col1800,0.0
Col2279,0.0
Col2281,0.0
Col1797,0.0
Col1796,0.0
Col1795,0.0
Col1794,0.0
Col2283,0.0
Col2269,0.0
Col2285,0.0
Col229,0.0
Col2293,0.0
Col2296,0.0
Col1777,0.0
Col2299,0.0
Col1767,0.0
Col2309,0.0
Col1764,0.0
Col1762,0.0
Col1761,0.0
Col1760,0.0
Col176,0.0
Col2312,0.0
Col2313,0.0
Col1789,0.0
Col1752,0.0
Col1816,0.0
Col2264,0.0
Col2209,0.0
Col2210,0.0
Col1896,0.0
Col1895,0.0
Col2211,0.0
Col2216,0.0
Col2218,0.0
Col188,0.0
Col1878,0.0
Col187,0.0
Col1861,0.0
Col2221,0.0
Col2222,0.0
Col2224,0.0
Col2266,0.0
Col2225,0.0
Col2231,0.0
Col2234,0.0
Col1848,0.0
Col1846,0.0
Col1844,0.0
Col1843,0.0
Col2238,0.0
Col1837,0.0
Col2251,0.0
Col2255,0.0
Col2256,0.0
Col2258,0.0
Col2260,0.0
Col1821,0.0
Col1852,0.0
Col482,0.0
Col386,0.0
Col1443,0.0
Col1189,0.0
Col745,0.0
Col749,0.0
Col1186,0.0
Col1185,0.0
Col754,0.0
Col758,0.0
Col761,0.0
Col767,0.0
Col1179,0.0
Col1176,0.0
Col768,0.0
Col769,0.0
Col771,0.0
Col777,0.0
Col778,0.0
Col779,0.0
Col78,0.0
Col781,0.0
Col1151,0.0
Col788,0.0
Col791,0.0
Col803,0.0
Col804,0.0
Col81,0.0
Col816,0.0
Col818,0.0
Col1193,0.0
Col1197,0.0
Col1198,0.0
Col1199,0.0
Col1266,0.0
Col1263,0.0
Col659,0.0
Col1246,0.0
Col678,0.0
Col686,0.0
Col124,0.0
Col688,0.0
Col69,0.0
Col1232,0.0
Col1231,0.0
Col692,0.0
Col695,0.0
Col1138,0.0
Col697,0.0
Col70,0.0
Col1217,0.0
Col1215,0.0
Col700,0.0
Col717,0.0
Col722,0.0
Col1209,0.0
Col725,0.0
Col1205,0.0
Col726,0.0
Col729,0.0
Col493,0.0
Col738,0.0
Col7,0.0
Col82,0.0
Col1136,0.0
Col1135,0.0
