feature,imp
Col2174,0.0
Col2136,0.0
Col2142,0.0
Col2143,0.0
Col2144,0.0
Col2145,0.0
Col2146,0.0
Col2147,0.0
Col2148,0.0
Col2149,0.0
Col2157,0.0
Col2159,0.0
Col2161,0.0
Col2162,0.0
Col2163,0.0
Col2166,0.0
Col2167,0.0
Col2171,0.0
Col2172,0.0
Col2173,0.0
Col994,0.0
Col2175,0.0
Col2176,0.0
Col2180,0.0
Col2181,0.0
Col2184,0.0
Col2135,0.0
Col2134,0.0
Col2133,0.0
Col2132,0.0
Col2069,0.0
Col2072,0.0
Col2073,0.0
Col2077,0.0
Col2078,0.0
Col2082,0.0
Col2083,0.0
Col2085,0.0
Col2087,0.0
Col2089,0.0
Col2090,0.0
Col2093,0.0
Col2186,0.0
Col2095,0.0
Col210,0.0
Col2104,0.0
Col2106,0.0
Col2117,0.0
Col2118,0.0
Col2119,0.0
Col2120,0.0
Col2122,0.0
Col2125,0.0
Col2127,0.0
Col2128,0.0
Col2129,0.0
Col2099,0.0
Col2187,0.0
Col2189,0.0
Col2190,0.0
Col2239,0.0
Col2240,0.0
Col2242,0.0
Col2251,0.0
Col2254,0.0
Col2255,0.0
Col2256,0.0
Col2258,0.0
Col226,0.0
Col2260,0.0
Col2261,0.0
Col2263,0.0
Col2238,0.0
Col2264,0.0
Col2268,0.0
Col2269,0.0
Col2270,0.0
Col2271,0.0
Col2274,0.0
Col2277,0.0
Col2279,0.0
Col2281,0.0
Col2282,0.0
Col2283,0.0
Col2284,0.0
Col2285,0.0
Col2266,0.0
Col2067,0.0
Col2236,0.0
Col2233,0.0
Col2191,0.0
Col2193,0.0
Col2196,0.0
Col2197,0.0
Col2198,0.0
Col2201,0.0
Col2202,0.0
Col2204,0.0
Col2207,0.0
Col2208,0.0
Col2209,0.0
Col2210,0.0
Col2234,0.0
Col2211,0.0
Col2215,0.0
Col2216,0.0
Col2218,0.0
Col2220,0.0
Col2221,0.0
Col2222,0.0
Col2224,0.0
Col2225,0.0
Col2227,0.0
Col2228,0.0
Col2229,0.0
Col2231,0.0
Col2212,0.0
Col2064,0.0
Col2063,0.0
Col2061,0.0
Col187,0.0
Col1875,0.0
Col1878,0.0
Col1879,0.0
Col1880,0.0
Col1881,0.0
Col1886,0.0
Col189,0.0
Col1890,0.0
Col1892,0.0
Col1895,0.0
Col1896,0.0
Col1867,0.0
Col1898,0.0
Col1906,0.0
Col1910,0.0
Col1912,0.0
Col1913,0.0
Col1916,0.0
Col1917,0.0
Col1918,0.0
Col192,0.0
Col1920,0.0
Col1921,0.0
Col1922,0.0
Col1925,0.0
Col1902,0.0
