points,tags,tag_dict,tag_vect,problem_id_enc,level_enc
500.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",2368,0
500.0,"constructive algorithms,greedy,math","['constructive algorithms', 'greedy', 'math']","  (0, 37)	0.4053203601812274
  (0, 33)	0.40718947111252246
  (0, 14)	0.47255057586028626
  (0, 13)	0.47255057586028626
  (0, 2)	0.47255057586028626",13,0
5.0,brute force,['brute force'],"  (0, 27)	0.5773502691896257
  (0, 7)	0.5773502691896257
  (0, 6)	0.5773502691896257",2289,1
1000.0,"dfs and similar,dsu,graphs","['dfs and similar', 'dsu', 'graphs']","  (0, 55)	0.41784825617123766
  (0, 32)	0.44524222366772453
  (0, 22)	0.527226580046366
  (0, 18)	0.41784825617123766
  (0, 17)	0.41784825617123766",3411,1
500.0,implementation,['implementation'],"  (0, 35)	1.0",4363,0
1000.0,math,['math'],"  (0, 37)	1.0",3057,1
2000.0,"math,number theory","['math', 'number theory']","  (0, 68)	0.5318655482034613
  (0, 43)	0.5318655482034613
  (0, 42)	0.5318655482034613
  (0, 37)	0.389046418699228",4734,3
1500.0,"brute force,dp,number theory","['brute force', 'dp', 'number theory']","  (0, 68)	0.43359845379121864
  (0, 43)	0.43359845379121864
  (0, 42)	0.43359845379121864
  (0, 27)	0.3347102049639565
  (0, 21)	0.3160448997983543
  (0, 7)	0.3347102049639565
  (0, 6)	0.3347102049639565",460,2
2000.0,"brute force,dfs and similar,graphs","['brute force', 'dfs and similar', 'graphs']","  (0, 55)	0.3926758377958515
  (0, 32)	0.41841951143422373
  (0, 27)	0.34753521245341634
  (0, 18)	0.3926758377958515
  (0, 17)	0.3926758377958515
  (0, 7)	0.34753521245341634
  (0, 6)	0.34753521245341634",5215,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",6267,0
2000.0,"dfs and similar,greedy","['dfs and similar', 'greedy']","  (0, 55)	0.5191851318063558
  (0, 33)	0.4374247326496878
  (0, 18)	0.5191851318063558
  (0, 17)	0.5191851318063558",2531,3
1000.0,"bitmasks,brute force,dfs and similar,expression parsing,implementation","['bitmasks', 'brute force', 'dfs and similar', 'expression parsing', 'implementation']","  (0, 55)	0.25603819629260705
  (0, 44)	0.4126033900993756
  (0, 35)	0.18151219931904067
  (0, 27)	0.22660495090355362
  (0, 24)	0.4126033900993756
  (0, 23)	0.4126033900993756
  (0, 18)	0.25603819629260705
  (0, 17)	0.25603819629260705
  (0, 7)	0.22660495090355362
  (0, 6)	0.22660495090355362
  (0, 5)	0.3249808667130291",442,1
500.0,"brute force,implementation,sortings","['brute force', 'implementation', 'sortings']","  (0, 56)	0.5107454681239295
  (0, 35)	0.3608715417013904
  (0, 27)	0.4505222144655873
  (0, 7)	0.4505222144655873
  (0, 6)	0.4505222144655873",5793,0
1500.0,"brute force,math,strings","['brute force', 'math', 'strings']","  (0, 61)	0.5347788103625819
  (0, 37)	0.4055595441888486
  (0, 27)	0.4279926323760396
  (0, 7)	0.4279926323760396
  (0, 6)	0.4279926323760396",4347,2
1000.0,implementation,['implementation'],"  (0, 35)	1.0",3464,1
1500.0,dfs and similar,['dfs and similar'],"  (0, 55)	0.5773502691896257
  (0, 18)	0.5773502691896257
  (0, 17)	0.5773502691896257",2347,2
2000.0,"combinatorics,dp","['combinatorics', 'dp']","  (0, 21)	0.5859036619853756
  (0, 11)	0.8103807123026353",62,4
1500.0,"dfs and similar,dsu","['dfs and similar', 'dsu']","  (0, 55)	0.466655699084791
  (0, 22)	0.5888101353875076
  (0, 18)	0.466655699084791
  (0, 17)	0.466655699084791",5002,2
500.0,"brute force,implementation,sortings","['brute force', 'implementation', 'sortings']","  (0, 56)	0.5107454681239295
  (0, 35)	0.3608715417013904
  (0, 27)	0.4505222144655873
  (0, 7)	0.4505222144655873
  (0, 6)	0.4505222144655873",1401,0
1500.0,dp,['dp'],"  (0, 21)	1.0",5408,2
2000.0,"dfs and similar,graphs,implementation","['dfs and similar', 'graphs', 'implementation']","  (0, 55)	0.4643387440546784
  (0, 35)	0.32918192630167115
  (0, 32)	0.4947806096700768
  (0, 18)	0.4643387440546784
  (0, 17)	0.4643387440546784",1997,2
500.0,implementation,['implementation'],"  (0, 35)	1.0",2788,0
1000.0,"data structures,dp,implementation","['data structures', 'dp', 'implementation']","  (0, 62)	0.4647105817379858
  (0, 35)	0.37375247115584775
  (0, 21)	0.44058274098201033
  (0, 16)	0.47446813058119025
  (0, 15)	0.47446813058119025",3990,1
500.0,implementation,['implementation'],"  (0, 35)	1.0",2170,0
1500.0,dp,['dp'],"  (0, 21)	1.0",2041,2
1750.0,"hashing,strings","['hashing', 'strings']","  (0, 61)	0.6356757696821022
  (0, 34)	0.7719561618635264",1397,3
1500.0,implementation,['implementation'],"  (0, 35)	1.0",1969,2
2500.0,"combinatorics,dp,implementation,number theory","['combinatorics', 'dp', 'implementation', 'number theory']","  (0, 68)	0.45037888321015035
  (0, 43)	0.45037888321015035
  (0, 42)	0.45037888321015035
  (0, 35)	0.27848106644603665
  (0, 21)	0.32827596079017524
  (0, 11)	0.45404820655245265",6091,4
1000.0,"binary search,greedy","['binary search', 'greedy']","  (0, 52)	0.5139849270625998
  (0, 33)	0.43767425589322995
  (0, 4)	0.5216611642056371
  (0, 3)	0.5216611642056371",4292,1
1000.0,"constructive algorithms,dp,math","['constructive algorithms', 'dp', 'math']","  (0, 37)	0.40586428310676204
  (0, 21)	0.4044290408116558
  (0, 14)	0.4731847189158438
  (0, 13)	0.4731847189158438
  (0, 2)	0.4731847189158438",824,0
500.0,implementation,['implementation'],"  (0, 35)	1.0",2710,0
1750.0,"dp,greedy","['dp', 'greedy']","  (0, 33)	0.7099799961551347
  (0, 21)	0.7042218436398824",1452,2
1000.0,"brute force,math","['brute force', 'math']","  (0, 37)	0.4799566188964724
  (0, 27)	0.5065049009231357
  (0, 7)	0.5065049009231357
  (0, 6)	0.5065049009231357",5561,1
8.0,dp,['dp'],"  (0, 21)	1.0",4206,14
500.0,implementation,['implementation'],"  (0, 35)	1.0",4751,0
1000.0,"constructive algorithms,dfs and similar,dsu,trees","['constructive algorithms', 'dfs and similar', 'dsu', 'trees']","  (0, 69)	0.37454084414795635
  (0, 55)	0.3394734848955937
  (0, 22)	0.4283359851682097
  (0, 18)	0.3394734848955937
  (0, 17)	0.3394734848955937
  (0, 14)	0.33192403700919226
  (0, 13)	0.33192403700919226
  (0, 2)	0.33192403700919226",4198,1
2000.0,"combinatorics,dp","['combinatorics', 'dp']","  (0, 21)	0.5859036619853756
  (0, 11)	0.8103807123026353",2206,3
500.0,"constructive algorithms,sortings","['constructive algorithms', 'sortings']","  (0, 56)	0.5097183429994464
  (0, 14)	0.4967183007198006
  (0, 13)	0.4967183007198006
  (0, 2)	0.4967183007198006",4727,0
750.0,"dfs and similar,dp,graphs,strings,trees","['dfs and similar', 'dp', 'graphs', 'strings', 'trees']","  (0, 69)	0.4090784740712643
  (0, 61)	0.41003018952684067
  (0, 55)	0.37077743951974695
  (0, 32)	0.3950854627713077
  (0, 21)	0.30985447207428185
  (0, 18)	0.37077743951974695
  (0, 17)	0.37077743951974695",2868,1
500.0,"binary search,bitmasks,brute force,greedy,implementation,strings","['binary search', 'bitmasks', 'brute force', 'greedy', 'implementation', 'strings']","  (0, 61)	0.3608458776025186
  (0, 52)	0.322849177718226
  (0, 35)	0.23132377722775319
  (0, 33)	0.27491618174701066
  (0, 27)	0.2887911301729283
  (0, 7)	0.2887911301729283
  (0, 6)	0.2887911301729283
  (0, 5)	0.41416390687147014
  (0, 4)	0.32767084994850504
  (0, 3)	0.32767084994850504",1886,0
2000.0,"binary search,data structures,greedy,sortings","['binary search', 'data structures', 'greedy', 'sortings']","  (0, 62)	0.33059074996812204
  (0, 56)	0.3763085583717865
  (0, 52)	0.37108347783599854
  (0, 33)	0.31598919829094846
  (0, 16)	0.33753217871257074
  (0, 15)	0.33753217871257074
  (0, 4)	0.37662551735068106
  (0, 3)	0.37662551735068106",5959,3
1750.0,"constructive algorithms,dfs and similar,trees","['constructive algorithms', 'dfs and similar', 'trees']","  (0, 69)	0.4144895335980709
  (0, 55)	0.37568187454530827
  (0, 18)	0.37568187454530827
  (0, 17)	0.37568187454530827
  (0, 14)	0.36732719926155916
  (0, 13)	0.36732719926155916
  (0, 2)	0.36732719926155916",3520,2
500.0,implementation,['implementation'],"  (0, 35)	1.0",6175,0
1000.0,"expression parsing,implementation","['expression parsing', 'implementation']","  (0, 44)	0.5595830715849842
  (0, 35)	0.24617139961121315
