submission_count,problem_solved,follower_count,max_rating,rating,rank_enc,contribution_abs,user_id_enc
47,40,4,348.337,330.849,3,0,2570
63,52,17,405.677,339.45,3,0,2255
226,203,24,307.339,284.404,1,8,1410
611,490,94,525.803,471.33,0,1,2995
504,479,4,548.739,486.525,0,12,3184
3,1,0,331.135,331.135,3,0,2420
216,199,28,387.328,387.328,3,0,1149
2,1,0,304.186,281.25,1,0,2564
91,79,0,318.807,258.888,1,0,538
91,71,4,383.028,362.959,3,0,3202
12,12,16,484.805,484.805,0,0,2080
473,441,88,491.112,403.67,3,0,3541
107,99,11,304.186,203.842,1,0,1081
669,632,63,356.9380000000001,303.899,1,0,2259
229,218,6,375.0,355.218,3,0,1969
338,311,14,361.525,341.74300000000005,3,0,3562
482,463,114,452.408,418.291,3,3,3198
367,300,117,619.839,564.507,0,15,2745
422,384,25,352.6380000000001,263.475,1,1,288
145,118,3,313.073,261.468,1,0,138
229,222,3,441.514,407.68300000000005,3,4,1774
7,6,0,360.092,327.122,3,0,1531
80,65,3,317.087,292.431,1,0,1802
55,49,8,428.899,382.741,3,0,1613
772,686,50,618.693,569.6669999999998,0,13,1035
735,715,9,419.4380000000001,353.211,3,0,2576
455,408,39,397.936,389.335,3,0,626
40,33,1,371.56,303.326,1,0,522
250,223,25,411.124,401.95,3,1,3088
488,440,89,423.165,409.117,3,3,960
831,683,121,487.385,421.445,3,0,684
80,66,0,304.186,225.631,1,0,2886
622,584,19,362.672,362.672,3,0,258
63,58,33,494.839,462.156,0,6,2016
169,159,2,345.75699999999995,345.75699999999995,3,0,1571
19,13,0,335.722,335.722,3,0,1406
145,137,26,460.722,320.241,3,0,491
930,838,81,574.255,543.865,0,0,539
63,56,10,473.05,473.05,0,0,2977
35,30,20,310.78,281.823,1,0,467
204,200,7,315.654,267.202,1,17,3038
203,180,37,332.282,272.649,1,0,3129
26,24,3,317.087,245.986,1,3,2412
174,164,8,559.633,514.908,0,0,836
146,17,2,313.073,138.475,1,0,2901
20,17,0,320.241,305.333,1,0,1403
8,1,0,305.619,215.883,1,0,987
132,86,6,389.335,348.911,3,0,2731
188,184,5,354.071,332.282,3,0,1810
46,29,1,338.30300000000005,338.30300000000005,3,0,2502
707,612,29,331.422,247.133,1,1,2521
348,281,67,598.911,570.528,0,0,2326
555,517,89,423.739,404.24300000000005,3,51,1903
502,463,10,401.089,329.702,3,0,81
226,200,17,360.378,329.415,3,0,2177
88,70,6,343.75,281.25,1,0,3102
51,37,6,326.261,272.362,1,0,2545
471,420,18,450.975,431.193,3,0,2680
276,232,17,409.69,397.649,3,2,2987
180,134,19,354.071,351.491,3,0,2936
463,410,39,374.713,374.713,3,0,3326
138,117,13,318.807,252.007,1,0,2956
196,166,1,366.112,351.204,3,0,2621
106,71,29,409.69,363.819,3,0,2026
142,124,26,310.493,256.594,1,0,891
