feature,imp
Col2168,0.0
Col197,0.0
Col1972,0.0
Col1973,0.0
Col1974,0.0
Col1975,0.0
Col1976,0.0
Col1980,0.0
Col1981,0.0
Col1983,0.0
Col1984,0.0
Col1985,0.0
Col1986,0.0
Col1988,0.0
Col1990,0.0
Col1991,0.0
Col1993,0.0
Col1994,0.0
Col1996,0.0
Col1997,0.0
Col1999,0.0
Col2001,0.0
Col2003,0.0
Col2005,0.0
Col2007,0.0
Col2009,0.0
Col2010,0.0
Col2014,0.0
Col1969,0.0
Col2017,0.0
Col1967,0.0
Col1959,0.0
Col1903,0.0
Col1905,0.0
Col1906,0.0
Col1907,0.0
Col1909,0.0
Col1916,0.0
Col1917,0.0
Col1921,0.0
Col1922,0.0
Col1923,0.0
Col1924,0.0
Col1925,0.0
Col1927,0.0
Col1931,0.0
Col1932,0.0
Col1933,0.0
Col1934,0.0
Col1936,0.0
Col1938,0.0
Col1940,0.0
Col1942,0.0
Col1946,0.0
Col1947,0.0
Col1949,0.0
Col1951,0.0
Col1955,0.0
Col1957,0.0
Col1966,0.0
Col2019,0.0
Col2022,0.0
Col2023,0.0
Col2111,0.0
Col2113,0.0
Col2114,0.0
Col2116,0.0
Col2119,0.0
Col2120,0.0
Col2123,0.0
Col2125,0.0
Col2126,0.0
Col2127,0.0
Col2128,0.0
Col2129,0.0
Col2132,0.0
Col2133,0.0
Col2134,0.0
Col2137,0.0
Col2139,0.0
Col214,0.0
Col2140,0.0
Col2141,0.0
Col2142,0.0
Col2147,0.0
Col215,0.0
Col2150,0.0
Col2151,0.0
Col2154,0.0
Col2157,0.0
Col2106,0.0
Col2105,0.0
Col2104,0.0
Col2102,0.0
Col2024,0.0
Col2025,0.0
Col2026,0.0
Col203,0.0
Col2033,0.0
Col2034,0.0
Col2036,0.0
Col2038,0.0
Col204,0.0
Col2040,0.0
Col2048,0.0
Col2051,0.0
Col2058,0.0
Col1901,0.0
Col2063,0.0
Col2067,0.0
Col2068,0.0
Col2069,0.0
Col2074,0.0
Col2079,0.0
Col2081,0.0
Col2085,0.0
Col2087,0.0
Col2090,0.0
Col2092,0.0
Col2093,0.0
Col2095,0.0
Col2096,0.0
Col2064,0.0
Col190,0.0
Col1898,0.0
Col1896,0.0
Col1681,0.0
Col1682,0.0
Col1683,0.0
Col1685,0.0
Col1686,0.0
Col1687,0.0
Col1695,0.0
Col1704,0.0
