serial,gross,genre,dir_rep,actor_rep,actress_rep,villain_rep,movie_likes,trailer_likes,poster_likes,budget,language,country,year
80000,2.94,24369948,5,3,5,4,5961,7692,2107,4943923,99,136,1900
80001,3.75,5175993,6,6,8,1,210,2858,5639,6806536,78,85,1932
80002,2.25,15178135,7,9,3,5,5644,7749,1018,7661403,251,80,1817
80003,2.62,6648892,1,4,4,3,2729,3670,4733,8548204,281,289,1961
80004,3.02,27143522,13,8,3,1,1109,3698,2342,8830095,199,195,1876
80005,3.59,25349391,8,6,8,3,8881,7436,2586,5490510,86,103,1931
80006,2.14,17085857,14,1,7,4,8125,9006,8813,9016022,23,172,1811
80007,1.99,2250512,14,8,3,6,4693,5032,3056,5353236,113,148,2015
80008,2.49,12675041,6,5,4,4,2604,7030,6072,8724435,231,259,1846
80009,1.57,3940729,10,1,7,3,1657,2499,4672,4744591,274,51,1939
80010,2.6,3671735,7,7,7,9,7139,6934,1807,6808801,248,212,1828
80011,3.88,10149088,1,9,2,2,4804,3799,5371,1696625,295,203,2016
80012,1.99,13862850,7,2,9,7,1684,9126,3214,1094667,253,202,1866
80013,2.43,26357186,2,4,2,1,9322,8487,9249,4262350,242,69,1904
80014,3.88,9557021,12,5,8,6,8288,8159,8898,2554282,142,186,1995
80015,2.87,1381177,6,5,9,4,6084,4938,1622,7066481,134,147,1993
80016,3.61,19576472,6,3,9,1,8511,7235,2455,6225768,284,4,1912
80017,1.57,21559203,1,6,2,5,6761,5511,3210,7436390,144,278,1993
80018,3.48,7339961,13,4,3,7,1174,9181,6450,5416589,52,119,1897
80019,3.44,15922920,4,4,8,5,7984,2637,6785,9483363,240,57,1818
80020,3.14,12223564,4,6,4,1,1480,7481,4913,7071914,39,217,1875
80021,2.96,2337843,11,6,1,3,3353,5317,6061,1077718,235,268,1915
80022,1.79,29552999,4,7,7,1,7808,5177,4717,7746628,36,160,1959
80023,2.41,18856784,12,1,5,2,9594,9913,1915,4537788,41,37,1843
80024,1.75,7736766,3,1,5,6,1351,6955,7270,3505777,90,136,2000
80025,1.75,17430146,2,8,6,8,6269,9311,5434,9738236,77,244,1853
80026,3.23,8661157,7,3,8,6,9450,1341,8534,4022830,241,232,1846
80027,2.18,1599989,13,7,6,7,6420,2613,8573,8143117,96,129,1922
80028,2.21,1709574,2,1,8,3,9409,7019,5002,1482534,23,144,1887
80029,1.74,24035932,6,8,4,9,312,458,8276,3515726,292,75,1945
80030,3.93,28776449,2,2,8,6,645,1774,3997,9261761,225,239,2011
80031,2.67,26813757,11,9,5,3,9374,8852,5812,2048188,118,212,1956
80032,3.75,10408022,14,4,8,6,204,5111,6517,1507133,184,167,1889
80033,2.26,18763405,6,2,3,2,2128,6761,8762,4150722,96,297,1838
80034,3.02,26862388,9,3,8,8,3916,1389,6862,1133146,206,161,1977
80035,2.41,53370,10,6,8,9,7985,7539,2050,2834578,32,26,1955
80036,2.39,1379523,7,9,7,5,7244,904,1373,1640902,238,120,1923
80037,3.54,4467018,12,2,2,5,9832,6672,3906,1977960,136,119,1915
80038,2.75,23761523,14,1,5,2,2510,9055,7138,7645464,123,158,2007
80039,3.78,26349259,7,3,5,2,2175,1230,5715,4162955,132,228,2001
80040,3.9,12682435,5,6,1,3,992,4450,2411,4268887,169,169,1997
80041,1.67,19433562,5,1,2,1,9424,9619,5338,579135,50,31,1913
80042,3.14,12733694,5,2,6,6,7184,9212,5292,7147549,231,276,1892
80043,3.84,8902789,12,8,7,4,1273,9208,3180,5337415,290,138,1881
80044,1.74,9026162,11,8,7,4,4232,6755,3856,27695,206,168,1903
80045,2.14,28727722,8,9,7,1,6202,3358,8132,8027591,187,158,1948
80046,1.64,29271385,9,8,6,6,6059,795,1918,7369134,79,247,1942
80047,2.5,18503972,6,8,7,7,7342,2529,5314,7965783,234,30,1904
80048,2.39,22686519,7,4,5,3,7235,8990,1868,4923185,114,26,1808
80049,2.77,12909269,12,2,9,5,2492,5648,931,6032608,281,113,1994
80050,1.77,24811188,5,5,5,2,5633,6947,5928,9666498,84,229,2014
80051,3.45,961186,2,4,1,1,1669,9196,5467,9045626,279,86,1836
80052,3.11,21097989,7,5,5,1,9359,3681,3770,3959144,117,246,1848
80053,1.92,13694768,3,4,4,5,7524,4471,3636,6292314,40,110,2007
80054,3.21,22960346,5,6,7,5,4013,9564,3787,8788753,1,259,1856
80055,3.12,24426130,12,9,7,2,458,5970,8963,4176221,100,91,1817
80056,2.99,21148925,2,6,7,2,1065,126,4326,2445930,117,38,1949
80057,2.5,1874539,5,1,8,1,3682,3853,9333,2411681,286,14,1819
80058,3.92,13387372,14,6,3,3,9579,7941,7022,7831728,271,106,1841
80059,1.53,24008900,1,5,6,1,8730,9699,1872,2548205,164,242,1978
80060,2.89,19555404,3,1,5,3,4785,7991,3811,5574290,212,139,1861
80061,3.92,3986237,8,5,3,5,1825,9486,8242,5734645,229,170,1814
80062,1.72,25672061,1,3,9,7,9137,1158,3513,3342619,199,153,1821
80063,1.82,26174294,8,2,4,7,4607,594,3360,9533698,270,167,1833
80064,2.6,6264437,1,8,6,5,5842,4868,5783,4670706,276,44,1875
80065,3.14,14058222,7,2,7,9,8805,6226,6231,5856831,150,123,1812
80066,3.3,27274652,4,6,8,7,3921,8851,8233,2435369,237,10,1933
80067,1.78,20904994,10,2,1,2,5293,9369,6488,837930,21,258,1917
80068,1.74,14218484,12,6,6,3,1848,7673,2206,1552548,58,150,1816
80069,1.79,20620074,3,3,2,3,81,6218,3300,1205538,124,112,1914
80070,1.67,19086910,5,3,9,1,6452,278,9507,9082973,173,242,1872
80071,2.96,24856550,9,3,8,3,5529,4924,6241,6099239,53,148,1973
80072,2.33,3877592,5,1,5,6,8975,8321,1353,5865567,51,118,1863
80073,1.65,11855102,2,5,1,9,2820,9101,4022,1641544,244,51,2014
80074,2.84,26697477,9,8,7,7,5621,6889,8014,6900959,221,183,1933
80075,1.69,15208072,14,6,8,7,5614,7219,8861,8441869,297,292,1954
80076,1.93,16728838,5,8,1,3,4021,6603,669,932036,256,267,1836
80077,2.48,20232326,8,9,8,7,8682,8179,2133,4529649,208,42,1923
80078,1.83,26518941,10,6,8,4,7946,1229,2873,3047262,47,176,1858
80079,3.92,6102497,5,5,5,5,6567,3443,5524,1725477,211,228,1917
80080,2.05,21627165,7,6,7,5,2397,2290,2048,3300118,74,67,1900
80081,1.85,25605910,7,1,8,4,5309,1277,4770,9052418,288,95,1935
80082,2.62,18062678,2,9,5,2,8579,9782,6215,5395288,254,178,1882
80083,3.48,29651148,5,8,5,6,2509,1345,318,2646363,9,108,1986
80084,2.06,14220353,7,5,5,6,5532,2860,8163,4629198,11,60,1879
80085,1.6,21788713,6,3,3,2,1738,5258,8982,961853,2,150,1981
80086,2.67,18268918,13,6,4,7,3931,4015,1052,2976434,120,238,1991
80087,3,25111887,8,2,2,5,4925,6035,1653,822744,199,83,1925
80088,3.98,2523380,13,3,7,5,4053,4423,7023,5383491,144,41,1814
80089,2.03,27267354,4,4,5,2,9961,2764,5225,2000455,218,238,1868
80090,3.49,28792277,10,2,3,4,2395,1596,8664,2348268,139,44,1820
80091,3.14,20745507,4,5,7,5,9767,8076,453,9426056,58,86,1883
80092,2.65,29667628,3,1,3,6,2216,5070,5126,5348748,280,90,1976
80093,2.67,29174110,8,8,6,4,7772,2456,1390,3152363,183,261,1831
80094,3.54,6421972,10,3,9,1,2832,1492,7160,9681732,75,248,1952
80095,3.95,18231754,11,1,3,8,8633,2852,7773,7300138,125,283,2003
80096,3.6,6078602,9,8,1,1,3488,7324,1453,1527805,281,108,1816
80097,1.61,10375081,8,8,8,6,1560,5384,8364,3882098,63,211,1924
80098,1.86,16943461,14,8,2,1,1408,1229,4143,2619156,156,203,1902
80099,3.34,14604379,4,8,7,2,6951,4183,9841,2177370,62,20,1865
80100,3.28,8043198,14,6,3,6,8328,2715,9174,2847650,199,96,2010
80101,1.83,520762,1,3,1,2,3869,6736,6696,6643828,285,206,1848
80102,1.61,2461444,10,5,7,5,1045,3704,9163,3025388,256,182,1818
80103,2.57,22268351,6,8,2,7,4317,2388,8130,6659156,113,142,1992
80104,2.37,18030050,14,2,1,6,2808,9251,3818,2987538,269,278,1800
80105,2.41,8226617,14,9,7,3,7055,4101,4013,8756359,110,26,1874
80106,2.12,16028283,1,9,3,5,5382,5089,4180,3231230,282,209,1936
80107,3.43,26295023,14,6,4,5,998,8750,5521,9167976,117,99,1873
80108,3.09,12462042,9,2,5,9,1009,9254,8584,4796536,171,98,1947
80109,1.89,25319885,8,6,1,9,4720,8048,204,7348514,168,103,1810
80110,3.59,6779112,3,1,5,6,2165,9510,2982,3220755,287,299,1980
80111,1.62,20031612,6,9,7,3,3896,9288,7651,4385169,129,205,1956
80112,2.86,5736430,13,7,1,3,4576,2786,2913,9353236,94,16,1939
80113,3.78,6746587,14,5,1,8,2796,6886,3133,630476,71,282,1811
80114,3.11,1272817,12,5,9,1,2863,2615,3902,9421004,97,176,1954
80115,1.79,3186428,5,8,7,1,2098,6481,5037,3192290,253,1,1842
80116,1.73,20647247,3,6,5,2,6610,4233,9343,8799674,47,248,1915
80117,3.07,267021,1,1,1,3,6182,4076,3331,4356928,134,249,1939
80118,2.32,4682301,1,5,1,5,516,9108,8229,3652226,70,10,1920
80119,3.65,1346062,6,5,8,1,6439,4396,6940,6518622,181,116,1958
80120,3.93,4801453,8,7,2,6,1870,2244,5770,2572707,96,240,1896
80121,1.81,20333576,5,8,7,6,5546,5470,1476,6308693,219,280,1803
80122,2.64,18759199,2,8,2,9,3202,8068,5545,9581120,189,179,1968
80123,2.86,6354971,10,4,6,6,1499,1533,5709,910991,111,63,1878
80124,2.17,4249232,1,6,9,8,8288,4474,5822,2620620,30,67,1940
80125,2.37,22472860,1,7,2,9,4355,5055,529,9082586,193,108,1872
80126,2.66,2894344,11,2,1,3,2681,5681,7538,2429248,113,23,1890
80127,2.31,27130306,2,8,1,8,3985,8694,5891,6748260,293,205,1875
80128,2.69,23066335,5,9,5,2,8978,9530,5558,2945339,179,273,1815
80129,1.97,15051177,4,9,5,3,1693,4354,3613,9050693,182,114,2007
80130,2.1,3134259,2,3,7,8,9529,2281,7606,9730694,10,165,1922
80131,2.52,23976278,14,2,9,1,1928,9307,9844,7064305,153,191,1950
80132,2.48,21017591,14,1,5,7,2198,7828,4038,8332562,174,286,1945
80133,2.99,1391394,13,5,1,1,5895,6186,9470,2487237,69,229,1803
80134,3.35,2101475,3,8,4,4,8117,7632,3704,9791448,211,90,1900
80135,2.85,27853543,11,8,9,9,5986,2054,3005,776258,76,163,1902
80136,2.61,7642906,9,7,9,5,3137,5878,9010,7589387,185,32,2016
80137,3.54,18174569,12,9,8,4,3626,306,8427,712945,258,67,1889
80138,2.55,15099594,7,5,7,6,7440,6978,4920,9532889,164,161,1973
80139,3.65,14875529,11,2,7,1,9522,7321,1160,5893821,111,149,1871
80140,1.5,9844193,8,3,5,4,5428,3060,5271,6718811,183,262,1894
80141,3.09,18744303,7,4,7,7,5945,9981,5685,3421849,64,89,1859
80142,1.89,6762478,2,6,4,9,1327,7104,132,8502626,30,236,1838
80143,3.46,14490199,5,2,5,4,9184,2742,9592,9102350,181,53,1988
80144,2.17,4545143,11,8,2,4,6362,2858,8502,8219601,55,191,1871
80145,2.41,8920536,8,2,3,7,6997,5693,3100,477102,113,194,1964
80146,2.25,17125096,8,4,2,9,6247,9012,4637,7036049,298,199,1800
80147,2.13,12376267,9,7,8,6,5653,9045,3668,9552923,31,80,1974
80148,3.12,22516098,6,1,6,9,8353,6061,8229,1784971,60,93,1959
80149,2.63,28207410,14,4,8,2,414,8852,6223,4096174,234,281,1993
80150,2.65,3509124,13,9,7,2,9852,5978,8393,97613,235,184,1903
80151,3.03,17376381,3,3,7,9,658,1509,502,850096,20,142,1808
80152,3.67,20251564,8,3,4,9,5663,6263,4037,8734795,200,182,1833
80153,2.44,18413049,14,3,9,2,3928,6607,151,2396804,291,34,1871
